date,np
1996-10-01,1014.33
1996-11-01,1012.28
1996-12-01,1009.82
1997-01-01,1002.04
1997-02-01,1004.22
1997-03-01,1014.99
1997-04-01,1011.38
1997-05-01,1012.88
1997-06-01,1014.84
1997-07-01,1015.95
1997-08-01,1015.97
1997-09-01,1012.47
1997-10-01,1013.29
1997-11-01,1009.99
1997-12-01,1008.35
1998-01-01,1000.74
1998-02-01,1000.2
1998-03-01,1008.11
1998-04-01,1015.1
1998-05-01,1015.82
1998-06-01,1017.74
1998-07-01,1017.81
1998-08-01,1018.76
1998-09-01,1014.46
1998-10-01,1013.9
1998-11-01,1008.96
1998-12-01,1011.37
1999-01-01,1007.95
1999-02-01,1006.91
1999-03-01,1012.04
1999-04-01,1017.12
1999-05-01,1015.72
1999-06-01,1014.03
1999-07-01,1019.11
1999-08-01,1014.38
1999-09-01,1014.29
1999-10-01,1014.49
1999-11-01,1011.32
1999-12-01,1010.54
2000-01-01,1013.54
2000-02-01,1000.9
2000-03-01,1005.93
2000-04-01,1015.08
2000-05-01,1016.26
2000-06-01,1015.37
2000-07-01,1017.37
2000-08-01,1018.06
2000-09-01,1013.41
2000-10-01,1012.85
2000-11-01,1009.13
2000-12-01,1003.25
2001-01-01,1002.0
2001-02-01,1009.46
2001-03-01,1011.58
2001-04-01,1016.05
2001-05-01,1015.52
2001-06-01,1016.5
2001-07-01,1017.41
2001-08-01,1016.4
2001-09-01,1013.72
2001-10-01,1013.92
2001-11-01,1006.79
2001-12-01,1006.74
2002-01-01,1007.86
2002-02-01,1010.13
2002-03-01,1014.46
2002-04-01,1018.43
2002-05-01,1014.35
2002-06-01,1013.67
2002-07-01,1016.85
2002-08-01,1016.2
2002-09-01,1014.54
2002-10-01,1010.22
2002-11-01,1004.55
2002-12-01,1003.26
2003-01-01,999.59
2003-02-01,1007.49
2003-03-01,1010.44
2003-04-01,1014.47
2003-05-01,1015.92
2003-06-01,1013.69
2003-07-01,1018.2
2003-08-01,1016.42
2003-09-01,1013.25
2003-10-01,1011.44
2003-11-01,1018.1
2003-12-01,1003.77
2004-01-01,1005.07
2004-02-01,1001.85
2004-03-01,1014.03
2004-04-01,1011.56
2004-05-01,1015.18
2004-06-01,1016.52
2004-07-01,1014.98
2004-08-01,1013.88
2004-09-01,1015.94
2004-10-01,1012.55
2004-11-01,1011.09
2004-12-01,1009.24
2005-01-01,1004.0
2005-02-01,1008.07
2005-03-01,1008.35
2005-04-01,1014.0
2005-05-01,1011.91
2005-06-01,1014.61
2005-07-01,1017.01
2005-08-01,1014.91
2005-09-01,1016.08
2005-10-01,1012.96
2005-11-01,1013.88
2005-12-01,999.54
2006-01-01,1007.96
2006-02-01,1014.38
2006-03-01,1014.78
2006-04-01,1015.51
2006-05-01,1016.5
2006-06-01,1016.5
2006-07-01,1016.33
2006-08-01,1018.12
2006-09-01,1014.75
2006-10-01,1014.18
2006-11-01,1014.75
2006-12-01,1004.94
2007-01-01,1008.53
2007-02-01,1008.17
2007-03-01,1012.74
2007-04-01,1009.87
2007-05-01,1015.51
2007-06-01,1016.26
2007-07-01,1014.67
2007-08-01,1016.07
2007-09-01,1013.92
2007-10-01,1013.33
2007-11-01,1007.59
2007-12-01,1010.56
2008-01-01,1009.33
2008-02-01,1005.85
2008-03-01,1013.19
2008-04-01,1018.18
2008-05-01,1014.14
2008-06-01,1016.95
2008-07-01,1016.56
2008-08-01,1014.83
2008-09-01,1013.98
2008-10-01,1015.42
2008-11-01,1010.81
2008-12-01,1014.72
2009-01-01,1009.59
2009-02-01,1014.81
2009-03-01,1017.4
2009-04-01,1015.88
2009-05-01,1016.03
2009-06-01,1013.16
2009-07-01,1015.78
2009-08-01,1016.23
2009-09-01,1013.6
2009-10-01,1010.73
2009-11-01,1012.19
2009-12-01,1004.34
2010-01-01,1000.04
2010-02-01,1005.01
2010-03-01,1010.87
2010-04-01,1015.22
2010-05-01,1016.23
2010-06-01,1015.99
2010-07-01,1018.84
2010-08-01,1018.11
2010-09-01,1012.75
2010-10-01,1011.56
2010-11-01,1013.83
2010-12-01,1013.51
2011-01-01,1003.18
2011-02-01,1015.8
2011-03-01,1009.34
2011-04-01,1015.1
2011-05-01,1014.86
2011-06-01,1014.75
2011-07-01,1017.27
2011-08-01,1015.04
2011-09-01,1012.88
2011-10-01,1012.67
2011-11-01,1014.06
2011-12-01,1009.69
2012-01-01,1007.49
2012-02-01,1006.07
2012-03-01,1014.31
2012-04-01,1015.06
2012-05-01,1016.26
2012-06-01,1014.66
2012-07-01,1018.38
2012-08-01,1016.97
2012-09-01,1015.32
2012-10-01,1012.85
2012-11-01,1012.29
2012-12-01,1009.34
2013-01-01,1006.32
2013-02-01,1009.7
2013-03-01,1013.91
2013-04-01,1016.05
2013-05-01,1015.92
2013-06-01,1015.75
2013-07-01,1018.26
2013-08-01,1013.93
2013-09-01,1013.17
2013-10-01,1012.5
2013-11-01,1015.44
2013-12-01,1010.29
2014-01-01,1002.87
2014-02-01,1010.84
2014-03-01,1009.58
2014-04-01,1010.81
2014-05-01,1017.44
2014-06-01,1016.41
2014-07-01,1016.73
2014-08-01,1014.39
2014-09-01,1012.06
2014-10-01,1011.17
2014-11-01,1008.51
2014-12-01,1005.1
2015-01-01,1004.45
2015-02-01,1007.6
2015-03-01,1013.65
2015-04-01,1015.87
2015-05-01,1014.65
2015-06-01,1015.56
2015-07-01,1015.21
2015-08-01,1016.4
2015-09-01,1015.79
2015-10-01,1009.75
2015-11-01,1015.94
2015-12-01,1006.17
2016-01-01,999.07
2016-02-01,1003.23
2016-03-01,1008.53
2016-04-01,1010.49
2016-05-01,1017.15
2016-06-01,1017.59
2016-07-01,1020.14
2016-08-01,1018.83
2016-09-01,1015.59
2016-10-01,1009.52
2016-11-01,1009.24
2016-12-01,1014.11
2017-01-01,1008.76
2017-02-01,1008.15
2017-03-01,1011.02
2017-04-01,1011.23
2017-05-01,1014.92
2017-06-01,1013.77
2017-07-01,1018.07
2017-08-01,1015.27
2017-09-01,1014.0
2017-10-01,1015.34
2017-11-01,1016.31
2017-12-01,1009.67
2018-01-01,1007.14
2018-02-01,1014.44
2018-03-01,1017.33
2018-04-01,1013.25
2018-05-01,1015.28
2018-06-01,1014.57
2018-07-01,1020.47
2018-08-01,1017.03
2018-09-01,1016.65
2018-10-01,1010.45
2018-11-01,1010.86
2018-12-01,1007.65
2019-01-01,1003.79
2019-02-01,1014.63
2019-03-01,1010.06
2019-04-01,1011.57
2019-05-01,1014.74
2019-06-01,1016.91
2019-07-01,1016.14
2019-08-01,1015.4
2019-09-01,1014.04
2019-10-01,1014.5
2019-11-01,1009.74
2019-12-01,1007.8
2020-01-01,1010.16
2020-02-01,1011.12
2020-03-01,1019.99
2020-04-01,1014.0
2020-05-01,1012.72
2020-06-01,1015.56
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
