date,noi
1998-03-01,-3.578
1998-04-01,-0.944
1998-05-01,-2.547
1998-06-01,1.351
1998-07-01,0.856
1998-08-01,1.579
1998-09-01,-1.561
1998-10-01,1.959
1998-11-01,0.938
1998-12-01,8.101
1999-01-01,4.302
1999-02-01,3.174
1999-03-01,0.822
1999-04-01,4.186
1999-05-01,2.295
1999-06-01,0.057
1999-07-01,-0.469
1999-08-01,-1.651
1999-09-01,-1.651
1999-10-01,0.012
1999-11-01,-2.029
1999-12-01,6.941
2000-01-01,0.929
2000-02-01,-4.992
2000-03-01,3.324
2000-04-01,-0.614
2000-05-01,-0.812
2000-06-01,-1.944
2000-07-01,1.526
2000-08-01,0.997
2000-09-01,-0.59
2000-10-01,1.53
2000-11-01,4.215
2000-12-01,1.911
2001-01-01,1.31
2001-02-01,2.013
2001-03-01,0.853
2001-04-01,2.209
2001-05-01,-0.607
2001-06-01,1.43
2001-07-01,0.528
2001-08-01,-0.027
2001-09-01,-0.811
2001-10-01,0.734
2001-11-01,-2.977
2001-12-01,-0.805
2002-01-01,2.848
2002-02-01,2.942
2002-03-01,1.664
2002-04-01,0.226
2002-05-01,-0.127
2002-06-01,0.495
2002-07-01,-1.938
2002-08-01,-0.31
2002-09-01,-2.719
2002-10-01,-0.016
2002-11-01,-1.922
2002-12-01,-5.861
2003-01-01,-2.517
2003-02-01,-0.073
2003-03-01,-0.57
2003-04-01,-2.628
2003-05-01,-0.762
2003-06-01,-2.216
2003-07-01,0.286
2003-08-01,0.091
2003-09-01,-1.554
2003-10-01,0.414
2003-11-01,-0.763
2003-12-01,-1.635
2004-01-01,-0.554
2004-02-01,-0.219
2004-03-01,5.007
2004-04-01,0.078
2004-05-01,1.529
2004-06-01,0.547
2004-07-01,-1.063
2004-08-01,-0.766
2004-09-01,0.674
2004-10-01,-2.109
2004-11-01,4.444
2004-12-01,0.037
2005-01-01,-2.242
2005-02-01,-5.398
2005-03-01,-0.002
2005-04-01,0.287
2005-05-01,-2.468
2005-06-01,1.027
2005-07-01,-0.195
2005-08-01,-0.757
2005-09-01,3.341
2005-10-01,2.172
2005-11-01,3.332
2005-12-01,-1.886
2006-01-01,4.121
2006-02-01,2.257
2006-03-01,-0.108
2006-04-01,-0.886
2006-05-01,-0.66
2006-06-01,-0.154
2006-07-01,-0.913
2006-08-01,-0.472
2006-09-01,0.579
2006-10-01,-1.143
2006-11-01,0.905
2006-12-01,2.745
2007-01-01,8.058
2007-02-01,2.207
2007-03-01,5.106
2007-04-01,1.956
2007-05-01,2.032
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
