,precip-accum_mm,temp_C
1987-09-01,227.0,21.28666666666667
1987-10-01,145.5,16.44516129032258
1987-11-01,65.5,9.433333333333334
1987-12-01,54.5,4.209677419354839
1988-01-01,21.0,3.958064516129032
1988-02-01,9.5,1.7655172413793105
1988-03-01,123.5,6.493548387096774
1988-04-01,79.0,12.203333333333335
1988-05-01,138.5,16.070967741935483
1988-06-01,191.0,20.316666666666666
1988-07-01,176.0,20.490322580645163
1988-08-01,207.5,25.299999999999997
1988-09-01,279.5,21.38
1988-10-01,61.5,14.30967741935484
1988-11-01,22.5,7.27
1988-12-01,0.5,3.967741935483871
1989-01-01,60.5,5.054838709677419
1989-02-01,130.0,4.446428571428571
1989-03-01,121.5,7.009677419354839
1989-04-01,144.0,13.313333333333333
1989-05-01,133.0,15.561290322580644
1989-06-01,165.5,18.64333333333333
1989-07-01,122.0,22.506451612903227
1989-08-01,254.0,25.403225806451612
1989-09-01,125.0,23.293333333333333
1989-10-01,174.0,14.741935483870968
1989-11-01,62.5,10.763333333333332
1989-12-01,27.5,4.916129032258064
1990-01-01,29.0,1.396774193548387
1990-02-01,99.0,5.453571428571428
1990-03-01,93.0,8.235483870967741
1990-04-01,154.5,12.736666666666668
1990-05-01,96.0,17.27741935483871
1990-06-01,99.0,21.75
1990-07-01,55.0,23.758064516129032
1990-08-01,105.0,26.725806451612904
1990-09-01,186.0,22.863333333333333
1990-10-01,166.0,16.9
1990-11-01,174.5,12.116666666666667
1990-12-01,26.5,5.703225806451614
1991-01-01,50.0,2.7774193548387096
1991-02-01,61.0,3.7392857142857143
1991-03-01,118.5,7.480645161290322
1991-04-01,92.0,13.56
1991-05-01,65.0,16.806451612903224
1991-06-01,110.5,22.013333333333332
1991-07-01,126.5,24.52258064516129
1991-08-01,204.5,23.596774193548388
1991-09-01,432.0,22.23
1991-10-01,448.5,16.309677419354838
1991-11-01,97.0,9.82
1991-12-01,35.5,5.877419354838709
1992-01-01,39.0,3.3806451612903223
1992-02-01,19.5,3.8310344827586205
1992-03-01,169.5,7.870967741935484
1992-04-01,181.0,13.153333333333334
1992-05-01,111.0,15.216129032258063
1992-06-01,143.5,18.53666666666667
1992-07-01,65.5,23.616129032258065
1992-08-01,54.0,25.248387096774195
1992-09-01,76.5,21.0
1992-10-01,239.5,15.193548387096774
1992-11-01,114.5,10.036666666666667
1992-12-01,68.5,5.774193548387097
1993-01-01,91.0,3.6322580645161286
1993-02-01,64.0,4.671428571428572
1993-03-01,58.5,6.232258064516128
1993-04-01,35.5,10.753333333333334
1993-05-01,103.0,15.864516129032259
1993-06-01,166.0,19.94
1993-07-01,224.0,20.641935483870967
1993-08-01,241.5,23.13225806451613
1993-09-01,92.0,20.84333333333333
1993-10-01,124.5,14.97741935483871
1993-11-01,119.0,10.956666666666667
1993-12-01,61.5,5.412903225806452
1994-01-01,45.5,2.3741935483870966
1994-02-01,71.5,3.810714285714286
1994-03-01,116.0,5.867741935483871
1994-04-01,39.0,13.533333333333333
1994-05-01,101.5,17.425806451612903
1994-06-01,72.0,20.493333333333332
1994-07-01,54.5,26.129032258064516
1994-08-01,77.5,27.225806451612904
1994-09-01,348.0,23.033333333333335
1994-10-01,54.0,17.916129032258063
1994-11-01,49.0,9.983333333333333
1994-12-01,22.0,5.306666666666667
1995-01-01,27.5,2.8096774193548386
1995-02-01,15.5,3.4892857142857143
1995-03-01,142.0,6.764516129032257
1995-04-01,110.5,13.203333333333335
1995-05-01,188.5,17.270967741935483
1995-06-01,180.0,18.779999999999998
1995-07-01,155.5,24.5258064516129
1995-08-01,69.5,27.13225806451613
1995-09-01,171.5,21.383333333333333
1995-10-01,60.5,16.91290322580645
1995-11-01,38.5,8.723333333333333
1995-12-01,0.0,3.6548387096774193
1996-01-01,17.0,3.0
1996-02-01,32.0,2.6448275862068966
1996-03-01,95.0,6.861290322580645
1996-04-01,66.0,10.176666666666668
1996-05-01,103.0,15.893548387096773
1996-06-01,42.0,20.216666666666665
1996-07-01,191.5,24.325806451612905
1996-08-01,36.0,24.151612903225807
1996-09-01,306.5,20.086666666666666
1996-10-01,63.0,15.422580645161291
1996-11-01,94.0,10.21
1996-12-01,36.5,5.474193548387096
1997-01-01,28.0,2.906451612903226
1997-02-01,30.5,4.242857142857143
1997-03-01,100.5,8.24516129032258
1997-04-01,79.0,13.05
1997-05-01,154.5,17.125806451612902
1997-06-01,161.0,21.2
1997-07-01,95.5,24.65806451612903
1997-08-01,35.5,25.09333333333333
1997-09-01,148.0,21.216666666666665
1997-10-01,21.5,15.396774193548387
1997-11-01,102.0,11.353333333333333
1997-12-01,46.5,5.929032258064516
1998-01-01,78.5,2.103225806451613
1998-02-01,62.5,4.375
1998-03-01,80.5,7.65483870967742
1998-04-01,205.5,14.186666666666667
1998-05-01,148.0,18.596774193548388
1998-06-01,155.5,19.68
1998-07-01,144.0,23.425806451612903
1998-08-01,199.5,25.125806451612902
1998-09-01,275.5,22.75
1998-10-01,128.0,18.016129032258064
1998-11-01,3.0,9.993333333333334
1998-12-01,42.5,5.17741935483871
1999-01-01,9.5,3.1903225806451614
1999-02-01,43.0,3.335714285714286
1999-03-01,112.5,7.854838709677419
1999-04-01,194.5,13.056666666666667
1999-05-01,101.0,17.887096774193548
1999-06-01,149.0,21.113333333333333
1999-07-01,196.0,24.706451612903226
1999-08-01,129.5,27.1
1999-09-01,50.0,24.466666666666665
1999-10-01,89.5,16.796774193548387
1999-11-01,77.5,10.79
1999-12-01,12.5,4.754838709677419
2000-01-01,58.0,4.812903225806451
2000-02-01,13.0,2.910344827586207
2000-03-01,67.0,7.012903225806451
2000-04-01,109.5,12.626666666666667
2000-05-01,217.5,17.612903225806452
2000-06-01,191.0,20.676666666666666
2000-07-01,224.5,25.81935483870968
2000-08-01,80.0,26.25483870967742
2000-09-01,198.5,23.233333333333334
2000-10-01,139.0,16.34516129032258
2000-11-01,80.0,10.606666666666666
2000-12-01,4.0,4.970967741935484
2001-01-01,102.0,1.558064516129032
2001-02-01,17.0,3.5535714285714284
2001-03-01,119.5,7.151612903225806
2001-04-01,30.5,13.43
2001-05-01,165.0,17.664516129032258
2001-06-01,133.0,21.233333333333334
2001-07-01,18.0,26.616129032258065
2001-08-01,80.0,24.425806451612903
2001-09-01,166.5,21.02
2001-10-01,271.5,16.029032258064515
2001-11-01,92.0,8.889999999999999
2001-12-01,25.5,4.274193548387097
2002-01-01,107.0,4.161290322580645
2002-02-01,27.5,5.014285714285714
2002-03-01,57.5,9.848387096774195
2002-04-01,40.5,13.963333333333333
2002-05-01,121.0,16.383870967741935
2002-06-01,110.5,19.56
2002-07-01,136.0,25.951612903225808
2002-08-01,64.0,26.106451612903225
2002-09-01,166.5,21.02
2002-10-01,134.5,16.351612903225806
2002-11-01,28.5,8.17
2002-12-01,76.0,3.8096774193548386
2003-01-01,72.5,2.52258064516129
2003-02-01,47.0,3.664285714285714
2003-03-01,109.5,6.316129032258065
2003-04-01,106.5,13.006666666666666
2003-05-01,132.0,16.809677419354838
2003-06-01,62.5,21.043333333333333
2003-07-01,142.0,20.806451612903224
2003-08-01,249.5,24.19677419354839
2003-09-01,113.0,21.966666666666665
2003-10-01,140.5,15.23225806451613
2003-11-01,167.5,12.22
2003-12-01,43.0,5.283870967741936
2004-01-01,2.5,2.97741935483871
2004-02-01,14.5,5.555172413793104
2004-03-01,111.5,7.483870967741935
2004-04-01,62.0,13.75
2004-05-01,146.0,17.496774193548386
2004-06-01,89.0,21.403333333333332
2004-07-01,145.5,26.05806451612903
2004-08-01,124.5,25.203225806451613
2004-09-01,165.5,23.2
2004-10-01,592.0,15.26774193548387
2004-11-01,90.5,12.370000000000001
2004-12-01,63.0,6.532258064516129
2005-01-01,93.0,3.045161290322581
2005-02-01,45.0,3.475
2005-03-01,77.0,6.364516129032259
2005-04-01,79.0,12.743333333333334
2005-05-01,74.5,15.461290322580645
